N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
8,42,34,76,8711.4781,0.0,17.942201436929967,0.23608159785434174,1.0,0.10526315789473684,662.0723356,664.336150145254,-2.2638145452540357,3.4285714285714284,11.15379310000003,9.506725599999982,19.181388599999877,16.407454199999847
6,41,35,76,8635.883,10.0,17.942201436929967,0.23608159785434174,-1.0,0.07894736842105265,656.327108,659.114971162536,-2.7878631625360413,3.9375,9.253380499999935,5.408565500000009,21.143556999999987,14.006959999999935
4,40,36,76,8608.8077,4.3,17.942201436929967,0.23608159785434174,1.0,0.052631578947368474,654.2693851999999,657.5312100153399,-3.261824815339992,4.444444444444445,12.761392699999988,7.195657699999856,22.824499199999764,11.378438199999778
2,39,37,76,8486.2161,1.0,17.942201436929967,0.23608159785434174,-1.0,0.02631578947368418,644.9524236,647.5344830327033,-2.5820594327033177,4.95,11.331708599999956,3.444431100000088,24.705713400000036,9.768872600000009
0,38,38,76,8393.9294,37.0,17.942201436929967,0.23608159785434174,1.0,0.0,637.9386344000001,640.8329792058412,-2.894344805841115,5.0,,4.317919400000051,,6.493748399999959
19,48,29,77,8411.2501,1.3,18.099246023352887,0.23505514316042717,0.0,0.24675324675324672,647.6662577,645.9160451055034,1.7502125944965883,0.6666666666666666,5.952520899999854,,10.535250200000064,
17,47,30,77,8530.0037,2.1,18.099246023352887,0.23505514316042717,0.0,0.22077922077922074,656.8102848999999,655.7116826971148,1.098602202885104,1.2,4.557498899999928,15.096548099999836,12.372927399999867,
15,46,31,77,8613.3907,2.6,18.099246023352887,0.23505514316042717,0.0,0.19480519480519476,663.2310838999999,662.6474193345996,0.5836645654003405,1.7142857142857142,7.7670166999998855,10.978297899999916,13.67434639999999,26.100076400000034
13,45,32,77,8671.0293,0.0,18.099246023352887,0.23505514316042717,0.0,0.16883116883116878,667.6692561,668.0427814430657,-0.37352534306569396,2.2222222222222223,6.071289699999966,12.20518889999994,15.498536100000024,23.23189859999991
11,44,33,77,8695.9789,1.8,18.099246023352887,0.23505514316042717,0.0,0.1428571428571429,669.5903753,670.7376362658565,-1.1472609658565034,2.727272727272727,9.696268099999998,7.992408899999987,17.024765300000013,20.033637800000065
9,43,34,77,8694.6908,0.0,18.099246023352887,0.23505514316042717,0.0,0.11688311688311692,669.4911916,671.7173090475062,-2.226117447506226,3.230769230769231,7.418856000000005,9.597084399999972,18.572649100000035,17.32047160000002
7,42,35,77,8666.8073,3.0,18.099246023352887,0.23505514316042717,0.0,0.09090909090909094,667.3441621000001,670.1444385260403,-2.8002764260402273,3.7333333333333334,11.01705410000011,5.271826500000088,20.270434600000044,14.77855210000007
5,41,36,77,8616.837,2.1,18.099246023352887,0.23505514316042717,0.0,0.06493506493506496,663.496449,666.6560150131545,-3.1595660131545173,4.235294117647059,9.22706380000011,7.169341000000031,21.988456500000098,12.57790650000004
3,40,37,77,8537.3396,1.4,18.099246023352887,0.23505514316042717,0.0,0.038961038961038974,657.3751492,660.6944248023084,-3.3192756023083803,4.7368421052631575,12.422725600000035,3.1057640000001356,23.75443419999999,10.301421699999992
1,39,38,77,8435.9188,8.5,18.099246023352887,0.23505514316042717,0.0,0.012987012987012991,649.5657476,652.3633594995067,-2.7976118995067054,5.238095238095238,11.62711319999994,4.613324000000034,,8.057755100000122
20,49,29,78,8354.6695,14.3,18.25561221028858,0.23404631038831517,-1.0,0.2564102564102564,651.664221,649.5539050875661,2.1103159124338617,0.5,3.9979633000000376,,9.950484199999892,
18,48,30,78,8507.38,2.0,18.25561221028858,0.23404631038831517,1.0,0.23076923076923073,663.5756399999999,662.1177794369654,1.457860563034501,1.0,6.765355099999965,15.909382299999947,11.322853999999893,
16,47,31,78,8577.1043,1.1,18.25561221028858,0.23404631038831517,-1.0,0.20512820512820518,669.0141354,667.6708127601174,1.3433226398825582,1.5,5.783051500000056,12.203850500000044,13.550068199999941,27.30039859999988
14,46,32,78,8671.6636,3.7,18.25561221028858,0.23404631038831517,1.0,0.17948717948717952,676.3897608000001,676.1179689352041,0.2717918647960005,2.0,8.720504700000106,13.15867690000016,14.791794400000072,24.136974800000075
12,45,33,78,8673.876,10.4,18.25561221028858,0.23404631038831517,-1.0,0.15384615384615385,676.562328,677.2248569795807,-0.6625289795807703,2.5,6.971952699999974,8.893071899999995,16.668220799999972,21.098260799999935
10,44,34,78,8717.8072,0.1,18.25561221028858,0.23404631038831517,1.0,0.1282051282051282,679.9889615999999,681.543382834618,-1.5544212346180757,3.0,10.497769999999946,10.39858629999992,17.91662599999995,18.390995199999907
8,43,35,78,8661.9594,3.8,18.25561221028858,0.23404631038831517,-1.0,0.10256410256410253,675.6328332,678.184302006792,-2.551468806791945,3.5,8.288671099999988,6.141641600000071,19.305725200000097,15.738726000000042
6,42,36,78,8661.2385,0.3,18.25561221028858,0.23404631038831517,1.0,0.07692307692307687,675.576603,678.3378014392679,-2.7611984392679005,4.0,12.080153999999993,8.232440899999915,21.307217800000103,13.504267400000003
4,41,37,78,8558.3512,3.4,18.25561221028858,0.23404631038831517,-1.0,0.05128205128205132,667.5513936,670.4361883706613,-2.8847947706613013,4.5,10.176244399999973,4.054944599999999,22.59897000000001,11.22428560000003
2,40,38,78,8500.0971,8.0,18.25561221028858,0.23404631038831517,1.0,0.02564102564102566,663.0075738,666.2249181111416,-3.2173443111415736,5.0,13.441826200000037,5.632424600000036,25.068939399999977,8.738188600000171
21,50,29,79,8320.938,112.7,18.41131157020244,0.23305457683800562,0.0,0.26582278481012656,657.354102,654.4584499469909,2.895652053009144,0.0,5.689881000000014,,9.687844300000052,
19,49,30,79,8450.5825,2.3,18.41131157020244,0.23305457683800562,0.0,0.240506329113924,667.5960175000001,665.7971298305083,1.798887669491819,0.6666666666666666,4.020377500000222,15.931796500000132,10.785732600000188,
17,48,31,79,8556.0725,1.2,18.41131157020244,0.23305457683800562,0.0,0.21518987341772156,675.9297275,674.2572868794595,1.6724406205405558,1.2,6.915592100000026,12.354087500000105,12.698643600000082,28.263469800000053
15,47,32,79,8634.5089,39.8,18.41131157020244,0.23305457683800562,0.0,0.189873417721519,682.1262031,681.2744592402114,0.8517438597885985,1.7142857142857142,5.736442299999908,13.112067700000011,14.456947000000014,25.315918200000056
13,46,33,79,8676.6172,5.7,18.41131157020244,0.23305457683800562,0.0,0.16455696202531644,685.4527588000001,685.5690683300652,-0.11630953006510936,2.2222222222222223,8.890430800000104,9.062997999999993,15.862383500000078,22.221674900000153
11,45,34,79,8695.5923,0.2,18.41131157020244,0.23305457683800562,0.0,0.1392405063291139,686.9517917000001,688.2553508297307,-1.3035591297306155,2.727272727272727,6.962830100000133,10.389463700000078,17.46060010000008,19.282535600000074
9,44,35,79,8687.5956,1.0,18.41131157020244,0.23305457683800562,0.0,0.11392405063291144,686.3200524,688.3694143590436,-2.0493619590436083,3.230769230769231,10.687219199999959,6.331090800000084,18.975890299999946,16.729677100000004
7,43,36,79,8657.113,3.7,18.41131157020244,0.23305457683800562,0.0,0.08860759493670889,683.9119269999999,686.6986707089528,-2.7867437089529403,3.7333333333333334,8.3353239999999,8.279093799999828,20.415477999999894,14.420735399999899
5,42,37,79,8601.1401,2.0,18.41131157020244,0.23305457683800562,0.0,0.06329113924050633,679.4900679,682.5811424606347,-3.091074560634752,4.235294117647059,11.938674300000002,3.913464900000008,22.114918699999976,12.145905799999923
3,41,38,79,8523.8558,7.9,18.41131157020244,0.23305457683800562,0.0,0.03797468354430378,673.3846081999999,676.4354955934604,-3.0508873934604708,4.7368421052631575,10.377034399999843,5.833214599999906,23.81886059999988,9.888159199999905
1,40,39,79,8416.7788,86.0,18.41131157020244,0.23305457683800562,0.0,0.012658227848101222,664.9255252,667.721445185641,-2.7959199856409214,5.238095238095238,,1.9179513999999926,,7.550376000000028
20,50,30,80,8423.5457,2.7,18.566355334451114,0.23207944168063896,1.0,0.25,673.8836560000001,671.5894092329537,2.2942467670463884,0.0,6.287638499999957,16.529554000000076,10.30801600000018,
18,49,31,80,8508.4545,3.1,18.566355334451114,0.23207944168063896,-1.0,0.22499999999999998,680.6763599999999,678.7501037423759,1.9262562576240043,0.75,4.746632499999919,13.080342499999801,11.662224599999945,29.012138999999934
16,48,32,80,8627.5707,2.2,18.566355334451114,0.23207944168063896,1.0,0.19999999999999996,690.205656,688.6750655721928,1.5305904278071694,1.3333333333333333,8.079452899999978,14.275928499999964,13.815895199999886,26.63001600000007
14,47,33,80,8651.2824,3.5,18.566355334451114,0.23207944168063896,-1.0,0.17500000000000004,692.102592,691.4705252053618,0.6320667946381491,1.875,6.649833199999875,9.97638889999996,15.54026399999998,23.088456599999972
12,46,34,80,8710.8142,1.0,18.566355334451114,0.23207944168063896,1.0,0.15000000000000002,696.865136,697.3397973530335,-0.4746613530335253,2.4,9.913344299999949,11.412377199999924,16.87617440000008,20.475375199999917
10,45,35,80,8677.6541,1.0,18.566355334451114,0.23207944168063896,-1.0,0.125,694.212328,695.758432635291,-1.5461046352910444,2.9166666666666665,7.892275599999948,7.260536299999899,18.579494799999907,17.649999999999977
8,44,36,80,8692.9301,0.7,18.566355334451114,0.23207944168063896,1.0,0.09999999999999998,695.434408,697.55271243064,-2.1183044306400234,3.4285714285714284,11.522481000000084,9.114355599999953,19.857804999999985,15.445446400000037
6,43,37,80,8611.676,2.0,18.566355334451114,0.23207944168063896,-1.0,0.07499999999999996,688.93408,691.5590658566747,-2.624985856674698,3.9375,9.444012100000009,5.022153000000117,21.38268640000001,13.301246799999944
4,42,38,80,8578.5966,3.7,18.566355334451114,0.23207944168063896,1.0,0.050000000000000044,686.2877280000001,689.2037435439468,-2.916015543946628,4.444444444444445,12.90311980000024,6.797660100000144,23.280154200000084,10.711125000000152
2,41,39,80,8454.2759,6.7,18.566355334451114,0.23207944168063896,-1.0,0.025000000000000022,676.342072,678.603141569004,-2.2610695690040075,4.95,11.416546799999992,2.9574638000001414,,8.790678400000047
21,51,30,81,8351.9262,5.4,18.720754407467133,0.23112042478354491,0.0,0.2592592592592593,676.5060222,674.7513163017718,1.754705898228167,0.6666666666666666,2.622366199999874,,8.910004699999831,
19,50,31,81,8483.3576,3.5,18.720754407467133,0.23112042478354491,0.0,0.23456790123456794,687.1519656,684.6818767359123,2.4700888640877565,0.0,6.475605600000108,13.268309599999952,11.222238100000027,29.797863600000028
17,49,32,81,8580.6587,2.2,18.720754407467133,0.23112042478354491,0.0,0.2098765432098766,695.0333547,693.2606931578937,1.7726615421063343,0.8,4.827698700000042,14.356994700000087,12.90715160000002,27.437337199999888
15,48,33,81,8648.0571,2.8,18.720754407467133,0.23112042478354491,0.0,0.18518518518518523,700.4926250999999,699.0963780596173,1.3962470403826046,1.4285714285714286,8.390033099999982,10.286969099999965,15.039866299999858,24.56289759999993
13,47,34,81,8685.9998,1.0,18.720754407467133,0.23112042478354491,0.0,0.16049382716049387,703.5659837999999,703.422274744985,0.1437090550149378,2.0,6.700847799999906,11.463391799999954,16.614192099999855,21.439780699999915
11,46,35,81,8695.9465,1.0,18.720754407467133,0.23112042478354491,0.0,0.13580246913580252,704.3716665000001,705.1539575016694,-0.782291001669364,2.5454545454545454,10.159338500000104,7.5065305000000535,18.05161410000005,18.918907699999977
9,45,36,81,8682.8206,1.1,18.720754407467133,0.23112042478354491,0.0,0.11111111111111116,703.3084685999999,705.2123309397425,-1.903862339742659,3.076923076923077,7.874060599999893,9.096140599999899,19.396541599999978,16.356676899999798
7,44,37,81,8645.5139,5.2,18.720754407467133,0.23112042478354491,0.0,0.0864197530864198,700.2866259,702.8145459845961,-2.527920084596076,3.6,11.352545899999996,4.852217900000028,20.796558000000005,13.966573499999981
5,43,38,81,8587.3545,3.3,18.720754407467133,0.23112042478354491,0.0,0.06172839506172845,695.5757145,698.5556416797675,-2.9799271797675146,4.117647058823529,9.287986499999874,6.641634500000009,22.191106300000115,11.663787500000126
3,42,39,81,8505.9031,5.8,18.720754407467133,0.23112042478354491,0.0,0.03703703703703709,688.9781511,691.9134725371548,-2.935321437154812,4.631578947368421,12.63607909999996,2.6904230999998617,24.052625899999953,9.488083200000005
1,41,40,81,8395.1519,99.0,18.720754407467133,0.23112042478354491,0.0,0.012345679012345734,680.0073039,682.9814939031768,-2.9741900031767727,4.7368421052631575,,3.6652318999999807,,6.622695700000122
22,52,30,82,8301.1175,3.3,18.874519380186243,0.23017706561202741,1.0,0.2682926829268293,680.691635,679.9624896893415,0.7291453106585095,1.0,4.185612800000058,,6.807978999999932,
20,51,31,82,8421.0494,2.6,18.874519380186243,0.23017706561202741,-1.0,0.24390243902439024,690.5260508,688.6719117088238,1.8541390911761937,0.75,3.3740851999999677,14.020028600000046,9.849690800000076,
18,50,32,82,8563.7567,2.4,18.874519380186243,0.23017706561202741,1.0,0.2195121951219512,702.2280494,700.0233333448648,2.2047160551352363,0.0,7.194694700000014,15.076083799999992,12.022393400000055,28.344393399999944
16,49,33,82,8611.4153,4.0,18.874519380186243,0.23017706561202741,-1.0,0.19512195121951215,706.1360546000001,704.4439308878751,1.6921237121249533,0.8333333333333334,5.643429500000138,11.102699900000061,14.03346260000012,25.459694600000148
14,48,34,82,8693.1973,0.5,18.874519380186243,0.23017706561202741,1.0,0.1707317073170732,712.8421786,711.8074430598896,1.0347355401104323,1.5,9.276194800000098,12.34955350000007,15.977042600000004,22.636522600000035
12,47,35,82,8682.4953,1.0,18.874519380186243,0.23017706561202741,-1.0,0.14634146341463417,711.9646146000001,711.9319051789802,0.032709421019944784,2.1,7.592948100000058,8.398630800000205,17.75228660000016,19.86202260000016
10,46,36,82,8710.6754,0.0,18.874519380186243,0.23017706561202741,1.0,0.12195121951219512,714.2753828,715.2962237972383,-1.0208409972383379,2.6666666666666665,10.966914200000133,9.903716299999928,18.840974800000026,17.41024679999998
8,45,37,82,8647.4275,3.2,18.874519380186243,0.23017706561202741,-1.0,0.09756097560975607,709.0890549999999,711.105741849645,-2.0166868496451116,3.2142857142857144,8.802429099999927,5.780586400000061,20.154974999999922,14.87672699999996
6,44,38,82,8635.719,6.4,18.874519380186243,0.23017706561202741,1.0,0.07317073170731703,708.128958,710.4363006443725,-2.307342644372511,3.75,12.553243500000008,7.8423321000000215,21.841229999999882,12.69455000000005
4,43,39,82,8529.2762,5.9,18.874519380186243,0.23017706561202741,-1.0,0.04878048780487809,699.4006484,701.8581211532852,-2.457472753285174,4.277777777777778,10.422497300000032,3.824933900000019,23.058576399999993,10.466568400000028
2,42,40,82,8465.4666,1.7,18.874519380186243,0.23017706561202741,1.0,0.024390243902439046,694.1682612,696.9650652689483,-2.7968040689482905,4.444444444444445,14.16095729999995,5.19011009999997,,7.880533199999832
21,52,31,83,8372.5756,2.8,19.027660542766455,0.22924892220200552,0.0,0.2530120481927711,694.9237748,693.9840986576484,0.9396761423516864,1.2,4.397724000000039,14.232139800000027,7.771809200000007,
19,51,32,83,8504.3462,2.6,19.027660542766455,0.22924892220200552,0.0,0.22891566265060237,705.8607346,704.0683737116846,1.792360888315443,0.8,3.632685199999969,15.334683799999993,10.827379899999983,29.35471240000004
17,50,33,83,8599.654,3.0,19.027660542766455,0.22924892220200552,0.0,0.20481927710843373,713.771282,711.3907723892052,2.3805096107948884,0.0,7.6352273999999625,11.54323260000001,13.278656900000101,26.619316400000002
15,49,34,83,8658.556,3.2,19.027660542766455,0.22924892220200552,0.0,0.1807228915662651,718.660148,717.2953269458246,1.3648210541754224,0.8571428571428571,5.817969400000038,12.52409339999997,15.094164200000137,23.62679330000003
13,48,35,83,8693.3852,4.0,19.027660542766455,0.22924892220200552,0.0,0.15662650602409633,721.5509716,720.5839900141519,0.9669815858480888,1.5555555555555556,9.586356999999907,8.708793000000014,17.179305099999965,21.058346500000084
11,47,36,83,8695.7295,0.0,19.027660542766455,0.22924892220200552,0.0,0.1325301204819277,721.7455484999999,722.2999393489843,-0.5543908489843261,2.1818181818181817,7.470165699999939,9.780933899999809,18.43707990000007,18.179564700000014
9,46,37,83,8675.2193,2.5,19.027660542766455,0.22924892220200552,0.0,0.10843373493975905,720.0432019000001,721.5406369807721,-1.497435080771993,2.769230769230769,10.954146900000183,5.767819100000111,19.75657600000011,15.671535400000039
7,45,38,83,8638.4076,7.3,19.027660542766455,0.22924892220200552,0.0,0.08433734939759041,716.9878308,719.0431525043995,-2.055321704399489,3.3333333333333335,8.858872799999972,7.898775800000067,21.41211629999998,13.679362200000128
5,44,39,83,8573.6571,20.0,19.027660542766455,0.22924892220200552,0.0,0.06024096385542166,711.6135393000001,714.1873580315814,-2.5738187315813548,3.8823529411764706,12.212890900000048,3.484581300000059,22.63538820000008,11.32691340000008
3,43,40,83,8488.3997,6.9,19.027660542766455,0.22924892220200552,0.0,0.03614457831325302,704.5371751,707.3643387054642,-2.827163605464193,4.117647058823529,10.368913900000052,5.13652669999999,24.529871200000002,8.96146060000001
22,53,31,84,8307.525,32.0,19.180187896644355,0.22833557019814713,-1.0,0.26190476190476186,697.8321,697.4970243917138,0.3350756082861608,1.5,2.908325199999922,,7.306049199999961,
20,52,32,84,8465.5244,3.4,19.180187896644355,0.22833557019814713,1.0,0.23809523809523814,711.1040496,710.226686899986,0.8773627000140323,1.3333333333333333,5.243315000000052,16.180274800000007,8.876000200000021,30.412414600000034
18,51,33,84,8547.9385,3.4,19.180187896644355,0.22833557019814713,-1.0,0.2142857142857143,718.026834,716.2133975340574,1.8134364659425728,0.8333333333333334,4.255551999999966,12.166099400000007,11.890779399999929,27.5007832
16,50,34,84,8658.7935,2.1,19.180187896644355,0.22833557019814713,1.0,0.19047619047619047,727.338654,725.019193942731,2.319460057268998,0.0,8.67850599999997,13.567371999999978,14.496475400000008,25.110604599999988
14,49,35,84,8671.3294,27.6,19.180187896644355,0.22833557019814713,-1.0,0.16666666666666663,728.3916696,726.784921146546,1.6067484534539744,0.875,6.840697999999975,9.731521599999951,16.427054999999882,22.25561499999992
12,48,36,84,8717.4473,0.0,19.180187896644355,0.22833557019814713,1.0,0.1428571428571429,732.2655732,731.6597360179815,0.6058371820184902,1.6,10.520024700000022,10.714601599999924,17.99019039999996,19.423394599999938
10,47,37,84,8676.2244,2.3,19.180187896644355,0.22833557019814713,-1.0,0.11904761904761907,728.8028496,729.1934851750368,-0.3906355750368675,2.25,8.759647699999846,7.057301100000018,19.71379460000003,16.838234999999827
8,46,38,84,8677.5132,1.3,19.180187896644355,0.22833557019814713,1.0,0.09523809523809523,728.9111088,730.1189790464683,-1.2078702464683602,2.857142857142857,11.923277999999982,8.867906899999866,20.782150799999954,14.635725999999977
6,45,39,84,8587.7812,4.6,19.180187896644355,0.22833557019814713,-1.0,0.0714285714285714,721.3736207999999,723.3870312710877,-2.013410471087809,3.4375,9.760081499999842,4.385789999999929,21.97297239999989,12.284565799999996
4,44,40,84,8549.0301,5.9,19.180187896644355,0.22833557019814713,1.0,0.04761904761904767,718.1185284,720.2922167174177,-2.1736883174177137,3.75,13.581353299999932,6.504989099999875,23.950267199999985,9.989570399999934
2,43,41,84,8417.9563,0.4,19.180187896644355,0.22833557019814713,-1.0,0.023809523809523836,707.1083292000001,709.1093030074733,-2.0009738074732013,3.9375,,2.571154100000058,,7.707680800000048
23,54,31,85,8253.5687,40.0,19.3321111659706,0.22743660195259535,0.0,0.2705882352941177,701.5533395,702.2220772036578,-0.6687377036578255,1.7142857142857142,3.7212395000000242,,6.629564699999946,
21,53,32,85,8401.7689,4.0,19.3321111659706,0.22743660195259535,0.0,0.24705882352941178,714.1503564999999,713.759042829876,0.3913136701239637,1.7142857142857142,3.046306899999877,16.31825649999996,8.28962189999993,
19,52,33,85,8510.9851,3.3,19.3321111659706,0.22743660195259535,0.0,0.22352941176470587,723.4337335,722.5172753020694,0.9164581979306377,1.4285714285714286,5.406899500000009,12.329683899999964,9.662451499999975,28.50995869999997
17,51,34,85,8610.3045,2.8,19.3321111659706,0.22743660195259535,0.0,0.19999999999999996,731.8758825000001,729.9440150224432,1.9318674775569207,0.8571428571428571,4.537228500000083,13.849048500000094,13.215734500000053,26.015147900000102
15,50,35,85,8673.5926,3.3,19.3321111659706,0.22743660195259535,0.0,0.17647058823529416,737.2553710000001,734.734473849861,2.520897150139035,0.0,8.863701400000082,9.916717000000062,15.704399400000057,23.48408900000004
13,49,36,85,8698.5633,2.1,19.3321111659706,0.22743660195259535,0.0,0.15294117647058825,739.3778805,738.0451999387709,1.33268056122904,0.8888888888888888,7.112307299999998,10.986210899999946,17.63233200000002,20.717732499999897
11,48,37,85,8697.4416,0.0,19.3321111659706,0.22743660195259535,0.0,0.12941176470588234,739.2825359999999,738.8592295625998,0.42330643740012874,1.6363636363636365,10.479686399999991,7.0169627999999875,19.239334099999837,17.73156439999991
9,47,38,85,8675.7193,3.0,19.3321111659706,0.22743660195259535,0.0,0.10588235294117643,737.4361405000001,738.0400670319705,-0.6039265319703873,2.3076923076923075,8.525031700000113,8.633290900000134,20.448309700000095,15.690592000000152
7,46,39,85,8628.1486,20.3,19.3321111659706,0.22743660195259535,0.0,0.08235294117647063,733.392631,734.8534445942387,-1.4608135942386298,2.933333333333333,12.019010200000139,4.481522200000086,21.77909169999998,13.349429099999952
5,45,40,85,8564.0394,6.9,19.3321111659706,0.22743660195259535,0.0,0.05882352941176472,727.9433489999999,729.8570353464578,-1.9136863464578937,3.3333333333333335,9.824820599999953,6.569728199999986,23.406173899999885,10.955518199999915
3,44,41,85,8473.7117,4.4,19.3321111659706,0.22743660195259535,0.0,0.03529411764705881,720.2654945,722.5603405173631,-2.2948460173630565,3.6,13.157165299999974,2.1469661000000997,,8.651955199999975
1,43,42,85,8361.332,17.0,19.3321111659706,0.22743660195259535,0.0,0.0117647058823529,710.71322,713.0478492804007,-2.3346292804006907,3.7333333333333334,,3.6048907999999074,,6.176044899999965
20,53,33,86,8456.7215,3.7,19.483439808463515,0.22655162567980835,-1.0,0.2325581395348837,727.278049,726.841617892476,0.4364311075239584,1.875,3.8443154999999933,13.12769250000008,9.251215000000002,29.44594900000004
18,52,34,86,8581.8224,2.7,19.483439808463515,0.22655162567980835,1.0,0.2093023255813954,738.0367263999999,737.0412292478188,0.9954971521810876,1.5,6.160843899999804,14.60299289999989,10.698072399999887,26.932676799999854
16,51,35,86,8632.3659,3.3,19.483439808463515,0.22655162567980835,-1.0,0.18604651162790697,742.3834674000001,740.3887953612277,1.9946720387723644,0.875,5.128096400000004,10.507584899999983,13.991797800000086,24.356633400000078
14,50,36,86,8712.0295,0.0,19.483439808463515,0.22655162567980835,1.0,0.16279069767441856,749.234537,746.7208392879951,2.513697712004955,0.0,9.8566565000001,11.979165999999964,16.968963800000097,21.895883000000026
12,49,37,86,8696.9014,0.2,19.483439808463515,0.22655162567980835,-1.0,0.13953488372093026,747.9335204,745.9115313020677,2.0219890979323054,0.9,8.650984400000084,8.555639900000074,19.130670800000075,19.54185080000002
10,48,38,86,8708.4566,0.0,19.483439808463515,0.22655162567980835,1.0,0.11627906976744184,748.9272675999999,748.3652879755491,0.5619796244508279,1.6666666666666667,11.491127099999858,9.6447316,20.01615879999997,16.661694399999988
8,47,39,86,8638.4293,15.1,19.483439808463515,0.22655162567980835,-1.0,0.09302325581395354,742.9049198,743.3812126037931,-0.47629280379305783,2.357142857142857,9.512288799999965,5.468779299999937,21.531299000000104,14.102070200000071
6,46,40,86,8614.0523,3.8,19.483439808463515,0.22655162567980835,1.0,0.06976744186046513,740.8084977999999,741.9237698412592,-1.1152720412592316,2.857142857142857,12.865148800000043,7.41586679999989,22.689969399999995,11.897388999999976
4,45,41,86,8502.2231,5.9,19.483439808463515,0.22655162567980835,-1.0,0.046511627906976716,731.1911865999999,732.6956219133443,-1.504435313344402,3.2142857142857144,10.925692099999878,3.2478376000000253,24.082857399999853,9.817565800000011
2,44,42,86,8434.7175,3.1,19.483439808463515,0.22655162567980835,1.0,0.023255813953488413,725.385705,727.1460802116754,-1.7603752116754094,3.4285714285714284,14.672485000000052,5.120210499999985,,7.267176600000084
21,54,33,87,8413.8521,3.2,19.63418302571681,0.22568026466341165,0.0,0.24137931034482762,732.0051327,732.53578396697,-0.5306512669700396,2.2222222222222223,4.72708369999998,,8.571399199999973,30.451793199999997
19,53,34,87,8529.092,2.4,19.63418302571681,0.22568026466341165,0.0,0.2183908045977011,742.031004,741.4318797921758,0.5991242078242749,2.0,3.994277600000146,14.752955000000043,10.15512149999995,27.880647500000123
17,52,35,87,8605.9105,3.4,19.63418302571681,0.22568026466341165,0.0,0.1954022988505747,748.7142134999999,747.6729360484032,1.0412774515966703,1.5555555555555556,6.330746099999828,10.677487100000008,11.458842499999832,25.280479999999898
15,51,36,87,8675.284,0.2,19.63418302571681,0.22568026466341165,0.0,0.1724137931034483,754.7497079999999,752.5212189714713,2.2284890285286565,0.8888888888888888,5.515170999999896,12.366240599999855,15.371827499999995,22.87382549999984
13,50,37,87,8710.9843,0.0,19.63418302571681,0.22568026466341165,0.0,0.14942528735632188,757.8556341,754.8515344532725,3.004099646727468,0.0,9.922113699999954,8.621097099999929,18.57309810000004,20.600263099999893
11,49,38,87,8705.2363,0.0,19.63418302571681,0.22568026466341165,0.0,0.12643678160919536,757.3555581,755.643566354261,1.7119917457390557,0.9090909090909091,8.428290500000116,9.422037700000033,19.919417599999974,17.977677600000106
9,48,39,87,8674.8451,1.2,19.63418302571681,0.22568026466341165,0.0,0.10344827586206895,754.7115237,754.0496034745469,0.6619202254531729,1.6923076923076923,11.806603900000027,5.784256100000107,21.318892699999992,15.428987700000107
7,47,40,87,8623.6545,4.4,19.63418302571681,0.22568026466341165,0.0,0.08045977011494254,750.2579415000001,750.7617382373579,-0.5037967373577885,2.3076923076923075,9.449443700000188,7.353021700000113,22.31459250000023,12.82180100000005
5,46,41,87,8551.7579,7.3,19.63418302571681,0.22568026466341165,0.0,0.05747126436781613,744.0029373,745.197252409586,-1.1943151095860003,2.769230769230769,12.811750700000061,3.194439500000044,23.73744279999994,10.610306299999934
3,45,42,87,8462.4243,3.0,19.63418302571681,0.22568026466341165,0.0,0.03448275862068961,736.2309141000001,737.7226251351755,-1.491711035175399,3.076923076923077,10.845209100000034,5.03972750000014,25.517694100000085,8.287565100000165
1,44,43,87,8347.7449,4.5,19.63418302571681,0.22568026466341165,0.0,0.011494252873563204,726.2538063,727.8566694304706,-1.6028631304706096,3.230769230769231,,0.8681012999999211,,5.988311799999906
20,54,34,88,8495.0045,3.6,19.7843497729948,0.2248221565113046,1.0,0.2272727272727273,747.560396,747.934349190135,-0.37395319013501194,2.4,5.529391999999916,15.555263299999979,9.523669600000062,
18,53,35,88,8563.7479,3.4,19.7843497729948,0.2248221565113046,-1.0,0.20454545454545459,753.6098152000001,752.8083595758252,0.8014556241748778,2.1,4.895601700000157,11.578811200000018,11.226347799999985,26.33176620000006
16,52,36,88,8656.8499,2.8,19.7843497729948,0.2248221565113046,1.0,0.18181818181818177,761.8027912,760.5485947041797,1.254196495820338,1.6,7.05308320000006,13.088577700000087,12.568254199999956,23.766064800000095
14,51,37,88,8681.1154,0.1,19.7843497729948,0.2248221565113046,-1.0,0.15909090909090906,763.9381552,761.3357237230314,2.6024314769686043,0.9,6.082521100000008,9.188447200000041,16.004634799999963,21.554687799999897
12,50,38,88,8732.5958,0.0,19.7843497729948,0.2248221565113046,1.0,0.13636363636363635,768.4684304,765.261593766378,3.206836633621947,0.0,11.112872299999935,10.612796300000014,19.541162800000052,19.233893399999943
10,49,39,88,8682.5396,1.6,19.7843497729948,0.2248221565113046,-1.0,0.11363636363636365,764.0634848,761.9513828088277,2.112101991172267,0.9166666666666666,9.351961099999926,6.707926699999916,21.158564999999953,16.12996439999995
